relation_id,source,target,source_id,target_id,head_id,tail_id,head,tail,head_name,tail_name,head_type,tail_type,relation_type,relation_label,confidence,doc_id,chunk_id,source_name,source_file,evidence_text,extraction_method,expert_status,review_status
REL_EQ_000011,tech_eq_011,model_eq_015,tech_eq_011,model_eq_015,tech_eq_011,model_eq_015,分布式AI地震预警,DBSCAN,分布式AI地震预警,DBSCAN,AITech,Model,USES_MODEL,USES_MODEL（采用模型）,0.75,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫痪，防灾AI架构必须采取“云-边-端”协同决策模式 [71, 72]。 ",规则抽取,待复核,待复核
REL_EQ_000012,tech_eq_011,data_eq_016,tech_eq_011,data_eq_016,tech_eq_011,data_eq_016,分布式AI地震预警,MEMS 加速度计,分布式AI地震预警,MEMS 加速度计,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.75,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫痪，防灾AI架构必须采取“云-边-端”协同决策模式 [71, 72]。 ",规则抽取,待复核,待复核
REL_EQ_000013,tech_eq_011,data_eq_015,tech_eq_011,data_eq_015,tech_eq_011,data_eq_015,分布式AI地震预警,台站波形数据,分布式AI地震预警,台站波形数据,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000014,tech_eq_011,limit_eq_001,tech_eq_011,limit_eq_001,tech_eq_011,limit_eq_001,分布式AI地震预警,预警盲区,分布式AI地震预警,预警盲区,AITech,Limitation,LIMITED_BY,LIMITED_BY（受限于）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000015,tech_eq_011,limit_eq_016,tech_eq_011,limit_eq_016,tech_eq_011,limit_eq_016,分布式AI地震预警,通信延迟,分布式AI地震预警,通信延迟,AITech,Limitation,LIMITED_BY,LIMITED_BY（受限于）,0.6,EQ_DOC_007,CHK_EQ_000019,分布式AI地震预警,地震灾害数据收集与整理.docx,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",规则抽取,待复核,待复核
REL_EQ_000016,tech_eq_004,task_eq_003,tech_eq_004,task_eq_003,tech_eq_004,task_eq_003,地震风险时空预测,地震风险评估,地震风险时空预测,地震风险评估,AITech,Task,SOLVES,SOLVES（解决任务）,0.9,EQ_DOC_008,CHK_EQ_000024,工程损失评估系统,地震灾害数据收集与整理.docx,"这些先进的计算工具表明，现代地震风险评估已呈现出显著的高精度（Site-specific）发展趋势 [25, 67]。过去，Hazus 常常使用区域性的普查区数据（Census Tract）来近似模拟平均建筑属性 [26, 67]。但现代 AI 防灾系统可以基于超高清街景、LiDAR 激光雷达扫描及建筑物三维模型，为每一栋建筑...",规则抽取,待复核,待复核
REL_EQ_000017,tech_eq_004,data_eq_002,tech_eq_004,data_eq_002,tech_eq_004,data_eq_002,地震风险时空预测,CENC 地震目录,地震风险时空预测,CENC 地震目录,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.6,EQ_DOC_002,CHK_EQ_000004,全球典型地震事件参数,地震灾害数据收集与整理.docx,"...决定了后续地震动模拟、破坏力评估及次生灾害链预测模型的输出质量 [1]。由于不同地震观测网络（如美国地质调查局 USGS、中国地震台网中心 CENC、日本气象厅 JMA）在台网分布、仪器校准、计算方法（如面波震级 与矩震级 的差异）等方面的技术路径不同，同一地震事件的测定参数往往存在系统性偏差 [2, 3]。 通过对比 USGS 与中国地震台网中心（CENC）对全球典型地震事件的正式测定结果，可以清晰地看出这些物理参数的技术异同点",规则抽取,待复核,待复核
REL_EQ_000018,data_eq_004,data_eq_006,data_eq_004,data_eq_006,data_eq_004,data_eq_006,ShakeMap,Finite Fault Model,ShakeMap,Finite Fault Model,Dataset,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"...地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源调度决策 [26, 27, 28]。 PAGER 系统在发震后数分",规则抽取,待复核,待复核
REL_EQ_000019,data_eq_004,data_eq_017,data_eq_004,data_eq_017,data_eq_004,data_eq_017,ShakeMap,Vs30,ShakeMap,Vs30,Dataset,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.6,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"...地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源调度决策 [26, 27, 28]。 PAGER 系统在发震后数分",规则抽取,待复核,待复核
REL_EQ_000020,data_eq_004,metric_eq_001,data_eq_004,metric_eq_001,data_eq_004,metric_eq_001,ShakeMap,PGA,ShakeMap,PGA,Dataset,Metric,HAS_METRIC,HAS_METRIC（具有指标）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000021,data_eq_004,metric_eq_002,data_eq_004,metric_eq_002,data_eq_004,metric_eq_002,ShakeMap,PGV,ShakeMap,PGV,Dataset,Metric,HAS_METRIC,HAS_METRIC（具有指标）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000022,data_eq_004,metric_eq_003,data_eq_004,metric_eq_003,data_eq_004,metric_eq_003,ShakeMap,MMI,ShakeMap,MMI,Dataset,Metric,HAS_METRIC,HAS_METRIC（具有指标）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"...地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源调度决策 [26, 27, 28]。 PAGER 系统在发震后数分",规则抽取,待复核,待复核
REL_EQ_000023,data_eq_004,product_eq_003,data_eq_004,product_eq_003,data_eq_004,product_eq_003,ShakeMap,Intensity Contours,ShakeMap,Intensity Contours,Dataset,ImpactProduct,HAS_IMPACT,HAS_IMPACT（产生影响）,0.9,EQ_DOC_003,CHK_EQ_000008,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"..., 33, 34] | 2021年海地大震数据值 [20, 21] | | --- | --- | --- | --- | --- | | ShakeMap 最大实测PGA | () [2] | 超出 范围 [10, 35] | - （由于 Kathmandu 盆地厚软沉积层放大，长周期波突出） [16] | [20] | | 最大修正麦加利烈度 (MMI) | MMI IX - XI (极度暴烈震动) [2, 5] | MMI ",规则抽取,待复核,待复核
REL_EQ_000024,data_eq_004,product_eq_004,data_eq_004,product_eq_004,data_eq_004,product_eq_004,ShakeMap,XML Grid,ShakeMap,XML Grid,Dataset,ImpactProduct,HAS_IMPACT,HAS_IMPACT（产生影响）,0.9,EQ_DOC_003,CHK_EQ_000008,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"..., 33, 34] | 2021年海地大震数据值 [20, 21] | | --- | --- | --- | --- | --- | | ShakeMap 最大实测PGA | () [2] | 超出 范围 [10, 35] | - （由于 Kathmandu 盆地厚软沉积层放大，长周期波突出） [16] | [20] | | 最大修正麦加利烈度 (MMI) | MMI IX - XI (极度暴烈震动) [2, 5] | MMI ",规则抽取,待复核,待复核
REL_EQ_000025,data_eq_004,product_eq_005,data_eq_004,product_eq_005,data_eq_004,product_eq_005,ShakeMap,Fault Rupture JSON,ShakeMap,Fault Rupture JSON,Dataset,ImpactProduct,HAS_IMPACT,HAS_IMPACT（产生影响）,0.9,EQ_DOC_003,CHK_EQ_000008,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"..., 33, 34] | 2021年海地大震数据值 [20, 21] | | --- | --- | --- | --- | --- | | ShakeMap 最大实测PGA | () [2] | 超出 范围 [10, 35] | - （由于 Kathmandu 盆地厚软沉积层放大，长周期波突出） [16] | [20] | | 最大修正麦加利烈度 (MMI) | MMI IX - XI (极度暴烈震动) [2, 5] | MMI ",规则抽取,待复核,待复核
REL_EQ_000026,data_eq_005,data_eq_004,data_eq_005,data_eq_004,data_eq_005,data_eq_004,PAGER,ShakeMap,PAGER,ShakeMap,Dataset,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000027,data_eq_005,data_eq_007,data_eq_005,data_eq_007,data_eq_005,data_eq_007,PAGER,WorldPop,PAGER,WorldPop,Dataset,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000028,data_eq_005,task_eq_006,data_eq_005,task_eq_006,data_eq_005,task_eq_006,PAGER,人员伤亡估计,PAGER,人员伤亡估计,Dataset,Task,SOLVES,SOLVES（解决任务）,0.6,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes...",规则抽取,待复核,待复核
REL_EQ_000029,data_eq_005,task_eq_007,data_eq_005,task_eq_007,data_eq_005,task_eq_007,PAGER,经济损失估计,PAGER,经济损失估计,Dataset,Task,SOLVES,SOLVES（解决任务）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000030,data_eq_005,product_eq_001,data_eq_005,product_eq_001,data_eq_005,product_eq_001,PAGER,PAGER XML,PAGER,PAGER XML,Dataset,ImpactProduct,HAS_IMPACT,HAS_IMPACT（产生影响）,0.9,EQ_DOC_003,CHK_EQ_000008,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"...MMI X (毁灭性强烈震动) [9] | MMI IX - X [3, 33] | MMI VIII (严重破坏烈度) [20] | | PAGER 经济损失警报级别 | 红色警报（经济损失极可能达到数亿美元，占日本国内生产总值的1%以下） [29] | 红色警报（经济损失数额极其巨大，破坏性极广） [9] | 红色警报（预估经济损失达到数十亿美元，约占尼泊尔国内生产总值的50%） [16] | 红色警报（预估损失巨大，占其GD",规则抽取,待复核,待复核
REL_EQ_000031,data_eq_005,product_eq_002,data_eq_005,product_eq_002,data_eq_005,product_eq_002,PAGER,PAGER 快速评估结果,PAGER,PAGER 快速评估结果,Dataset,ImpactProduct,HAS_IMPACT,HAS_IMPACT（产生影响）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000032,data_eq_004,case_eq_001,data_eq_004,case_eq_001,data_eq_004,case_eq_001,ShakeMap,2024 年日本能登半岛地震,ShakeMap,2024 年日本能登半岛地震,Dataset,Case,VALIDATED_IN,VALIDATED_IN（案例验证）,0.9,EQ_DOC_003,CHK_EQ_000008,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"| 评估指标与评估报告产品类型 | 2024年能登半岛地震数据值 [2, 4, 5, 29] | 2023年土耳其双震（主震）数据值 [9, 10, 31, 32] | 2015年尼泊尔大震数据值 [16, 17, 33, 34] | 2021年海地大震数据值 [20, 21] | | --- | --- | --- | --- | --- | | ShakeMap 最大实测PGA | () [2] | 超出 范围 [10, 35] |",规则抽取,待复核,待复核
REL_EQ_000033,tech_eq_005,stage_eq_003,tech_eq_005,stage_eq_003,tech_eq_005,stage_eq_003,震后灾情快速评估,震后评估,震后灾情快速评估,震后评估,AITech,Scenario,SERVES_STAGE,SERVES_STAGE（服务阶段）,0.6,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for...",规则抽取,待复核,待复核
REL_EQ_000034,tech_eq_005,data_eq_004,tech_eq_005,data_eq_004,tech_eq_005,data_eq_004,震后灾情快速评估,ShakeMap,震后灾情快速评估,ShakeMap,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.75,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
REL_EQ_000035,tech_eq_005,data_eq_005,tech_eq_005,data_eq_005,tech_eq_005,data_eq_005,震后灾情快速评估,PAGER,震后灾情快速评估,PAGER,AITech,Dataset,DEPENDS_ON,DEPENDS_ON（依赖数据）,0.9,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for...",规则抽取,待复核,待复核
REL_EQ_000036,tech_eq_005,task_eq_006,tech_eq_005,task_eq_006,tech_eq_005,task_eq_006,震后灾情快速评估,人员伤亡估计,震后灾情快速评估,人员伤亡估计,AITech,Task,SOLVES,SOLVES（解决任务）,0.6,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for...",规则抽取,待复核,待复核
REL_EQ_000037,tech_eq_005,task_eq_007,tech_eq_005,task_eq_007,tech_eq_005,task_eq_007,震后灾情快速评估,经济损失估计,震后灾情快速评估,经济损失估计,AITech,Task,SOLVES,SOLVES（解决任务）,0.75,EQ_DOC_003,CHK_EQ_000007,ShakeMap与PAGER影响评估,地震灾害数据收集与整理.docx,"## 三、 地震动、烈度图与PAGER快速影响评估数据链 地震动参数（如地面峰值加速度 PGA、地面峰值速度 PGV）是评估地面震动剧烈程度和预测建筑物结构物理破坏力的核心指标 [4, 26]。美国地质调查局的 ShakeMap 系统和 PAGER（Prompt Assessment of Global Earthquakes for Response）系统，是当前全球最为先进的震后快速半结构化影响评估工具，广泛服务于灾害防御及应急资源",规则抽取,待复核,待复核
