doc_id,title,source_type,source_name,source_url,year,region,disaster_type,path,body_chars,has_source_url,quality_status,curation_note
paper_myshake_network,MyShake smartphone network for earthquake early warning,paper,UC Berkeley,https://myshake.berkeley.edu/science/,2024,United States,地震,data\corpus\sample\paper_myshake_network.md,510,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_seismic_risk_prediction,Data driven earthquake risk prediction and rapid loss estimation,paper,GEM Foundation,https://www.globalquakemodel.org/openquake,2024,global,地震,data\corpus\sample\paper_seismic_risk_prediction.md,513,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_transfer_learning_damage,Transfer learning for post earthquake damage assessment,paper,Remote Sensing,https://www.mdpi.com/2072-4292/14/11/2532,2022,global,地震,data\corpus\sample\paper_transfer_learning_damage.md,495,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
paper_xbd_damage_assessment,xBD dataset for satellite building damage assessment,paper,arXiv,https://arxiv.org/abs/1911.09296,2019,global,地震,data\corpus\sample\paper_xbd_damage_assessment.md,480,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_disaster_recovery_prediction,Predictive earthquake recovery and resource planning system,patent,Google Patents US20170308421A1,https://patents.google.com/patent/US20170308421A1/en,2017,United States,地震,data\corpus\sample\patent_disaster_recovery_prediction.md,521,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_earthquake_prediction_device,Earthquake prediction device and warning method,patent,Google Patents WO2014128965A1,https://patents.google.com/patent/WO2014128965A1/en,2014,global,地震,data\corpus\sample\patent_earthquake_prediction_device.md,494,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_myshake_warning,Smartphone earthquake early warning patent,patent,Google Patents US20180376314A1,https://patents.google.com/patent/US20180376314A1/en,2018,United States,地震,data\corpus\sample\patent_myshake_warning.md,503,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_predictive_emergency_analytics,Predictive analytics for earthquake emergency response,patent,Google Patents WO2018039142A1,https://patents.google.com/patent/WO2018039142A1/en,2018,global,地震,data\corpus\sample\patent_predictive_emergency_analytics.md,489,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_structural_damage_predictor,Structural damage predictor after earthquake,patent,Google Patents US10915829B1,https://patents.google.com/patent/US10915829B1/en,2021,United States,地震,data\corpus\sample\patent_structural_damage_predictor.md,492,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_tw_earthquake_ai,Artificial intelligence earthquake monitoring patent,patent,Google Patents TW201544830A,https://patents.google.com/patent/TW201544830A/en,2015,China Taiwan,地震,data\corpus\sample\patent_tw_earthquake_ai.md,519,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
patent_tw_earthquake_warning,Earthquake early warning patent,patent,Google Patents TWI464443B,https://patents.google.com/patent/TWI464443B/en,2014,China Taiwan,地震,data\corpus\sample\patent_tw_earthquake_warning.md,475,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_ai_governance_response,AI governance requirements for earthquake emergency decision support,policy,NIST,https://www.nist.gov/itl/ai-risk-management-framework,2023,United States,地震,data\corpus\sample\policy_ai_governance_response.md,534,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_china_14th_drr_plan,National disaster prevention and mitigation plan for earthquake governance,policy,State Council of China,https://www.gov.cn/zhengce/,2022,China,地震,data\corpus\sample\policy_china_14th_drr_plan.md,547,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_china_earthquake_plan,National earthquake emergency plan and response workflow,policy,State Council of China,https://www.gov.cn/,2024,China,地震,data\corpus\sample\policy_china_earthquake_plan.md,485,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_fema_nims,National Incident Management System for earthquake emergency coordination,policy,FEMA,https://www.fema.gov/emergency-managers/nims,2023,United States,地震,data\corpus\sample\policy_fema_nims.md,523,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_japan_disaster_plan,Japan disaster management plan for earthquake response,policy,Cabinet Office Japan,https://www.bousai.go.jp/,2024,Japan,地震,data\corpus\sample\policy_japan_disaster_plan.md,509,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_sendai_framework_earthquake,Sendai Framework applied to earthquake risk reduction,policy,UNDRR,https://www.undrr.org/publication/sendai-framework-disaster-risk-reduction-2015-2030,2015,global,地震,data\corpus\sample\policy_sendai_framework_earthquake.md,498,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
policy_us_mitigation_framework,National Mitigation Framework for seismic risk reduction,policy,FEMA,https://www.fema.gov/emergency-managers/national-preparedness/frameworks/mitigation,2023,United States,地震,data\corpus\sample\policy_us_mitigation_framework.md,494,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_fema_hazus,Hazus earthquake loss estimation program,project,FEMA,https://www.fema.gov/flood-maps/tools-resources/flood-map-products/hazus,2024,United States,地震,data\corpus\sample\project_fema_hazus.md,471,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_hot_osm_earthquake,Humanitarian mapping for earthquake response,project,Humanitarian OpenStreetMap Team,https://www.hotosm.org/,2024,global,地震,data\corpus\sample\project_hot_osm_earthquake.md,497,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_myshake,MyShake smartphone earthquake early warning,project,UC Berkeley,https://myshake.berkeley.edu/,2024,United States,地震,data\corpus\sample\project_myshake.md,486,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_nasa_earthquake_response,NASA Disasters Program earthquake response products,project,NASA,https://disasters.nasa.gov/,2024,global,地震,data\corpus\sample\project_nasa_earthquake_response.md,477,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_openquake,OpenQuake engine for seismic risk modelling,project,GEM Foundation,https://www.globalquakemodel.org/openquake,2024,global,地震,data\corpus\sample\project_openquake.md,471,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_shakealert,USGS ShakeAlert earthquake early warning,project,USGS,https://www.usgs.gov/programs/earthquake-hazards/shakealert,2024,United States,地震,data\corpus\sample\project_shakealert.md,473,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
project_xview2_earthquake,xView2 style satellite damage assessment for earthquake response,project,DIU and Carnegie Mellon,https://xview2.org/,2024,global,地震,data\corpus\sample\project_xview2_earthquake.md,521,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_cdri_giri,Global infrastructure resilience evidence for earthquake lifelines,report,CDRI,https://giri.unepgrid.ch/,2023,global,地震,data\corpus\sample\report_cdri_giri.md,514,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_fema_building_codes,Building codes save lives in earthquake damage reduction,report,FEMA,https://www.fema.gov/emergency-managers/risk-management/building-science/building-codes-save-study,2020,United States,地震,data\corpus\sample\report_fema_building_codes.md,493,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_gfdrr_ml_drm,Machine learning for earthquake risk management evidence review,report,GFDRR and World Bank,https://www.gfdrr.org/en/publication/machine-learning-disaster-risk-management,2018,global,地震,data\corpus\sample\report_gfdrr_ml_drm.md,517,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_gfdrr_responsible_ai,Responsible AI for earthquake emergency decision support,report,GFDRR,https://www.gfdrr.org/en/publication/responsible-artificial-intelligence-disaster-risk-management,2020,global,地震,data\corpus\sample\report_gfdrr_responsible_ai.md,469,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_jrc_ai_drm,Artificial intelligence approaches for earthquake risk management,report,European Commission Joint Research Centre,https://publications.jrc.ec.europa.eu/repository/handle/JRC142778,2025,Europe,地震,data\corpus\sample\report_jrc_ai_drm.md,558,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_undrr_gar2025,Global risk reduction report interpreted for earthquake resilience,report,UNDRR,https://www.undrr.org/gar/gar2025,2025,global,地震,data\corpus\sample\report_undrr_gar2025.md,508,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
report_worldbank_lifelines,Lifelines resilient infrastructure opportunity for seismic shock,report,World Bank and GFDRR,https://www.gfdrr.org/en/publication/lifelines-opportunity-resilient-infrastructure,2019,global,地震,data\corpus\sample\report_worldbank_lifelines.md,526,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_iso_22320_incident_management,ISO 22320 incident management for earthquake response,standard,ISO 22320,https://www.iso.org/standard/67851.html,2018,global,地震,data\corpus\sample\standard_iso_22320_incident_management.md,467,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_iso_22322_public_warning,ISO 22322 public warning for earthquake alerts,standard,ISO 22322,https://www.iso.org/search.html?q=ISO%2022322,2022,global,地震,data\corpus\sample\standard_iso_22322_public_warning.md,483,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_iso_22324_colour_alerts,ISO 22324 colour coded earthquake alert guidance,standard,ISO 22324,https://www.iso.org/search.html?q=ISO%2022324,2022,global,地震,data\corpus\sample\standard_iso_22324_colour_alerts.md,487,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_iso_31000_risk,ISO 31000 risk management for seismic resilience,standard,ISO 31000,https://www.iso.org/iso-31000-risk-management.html,2018,global,地震,data\corpus\sample\standard_iso_31000_risk.md,476,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_iso_37123_resilient_cities,ISO 37123 resilient city indicators for earthquake lifelines,standard,ISO 37123,https://www.iso.org/search.html?q=ISO%2037123,2019,global,地震,data\corpus\sample\standard_iso_37123_resilient_cities.md,507,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_oasis_cap,OASIS Common Alerting Protocol for earthquake warning messages,standard,OASIS,https://www.oasis-open.org/standard/cap/,2010,global,地震,data\corpus\sample\standard_oasis_cap.md,511,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
standard_ogc_sensorthings,OGC SensorThings API for seismic sensor observations,standard,OGC,https://www.ogc.org/standard/sensorthings/,2021,global,地震,data\corpus\sample\standard_ogc_sensorthings.md,489,yes,source_traced,中文整理稿，需保留来源追溯并在正式报告中标明非原文全文转载
