relation_id,head,relation_type,tail,confidence,priority_score,priority_reason,doc_id,chunk_id,expert_status
REL_EQ_000269,震后建筑损毁识别,SUPPORTED_BY,证据片段039,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000270,震后建筑损毁识别,SUPPORTED_BY,证据片段040,0.6,48.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000001,地震早期预警,SERVES_STAGE,震时预警,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000002,地震早期预警,SOLVES,地震监测预警,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000003,地震早期预警,DEPENDS_ON,台站波形数据,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000004,分布式AI地震预警,SOLVES,地震监测预警,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000005,分布式AI地震预警,SERVES_STAGE,震时预警,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000006,分布式AI地震预警,USES_MODEL,Edge-AI CNN,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000013,分布式AI地震预警,DEPENDS_ON,台站波形数据,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000017,地震风险时空预测,DEPENDS_ON,CENC 地震目录,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000019,ShakeMap,DEPENDS_ON,Vs30,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000028,PAGER,SOLVES,人员伤亡估计,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000033,震后灾情快速评估,SERVES_STAGE,震后评估,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000036,震后灾情快速评估,SOLVES,人员伤亡估计,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000038,震后建筑损毁识别,SERVES_STAGE,震后评估,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000039,震后建筑损毁识别,DEPENDS_ON,xBD,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000040,震后建筑损毁识别,DEPENDS_ON,Copernicus EMS,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000041,震后建筑损毁识别,DEPENDS_ON,ALOS-2-BDE,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000042,震后建筑损毁识别,DEPENDS_ON,Sentinel-1,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000043,震后建筑损毁识别,DEPENDS_ON,PALSAR-2,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000044,震后建筑损毁识别,DEPENDS_ON,OpenStreetMap,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000045,震后建筑损毁识别,DEPENDS_ON,建筑物足迹,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000046,震后建筑损毁识别,SOLVES,震后建筑损毁识别,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000047,震后建筑损毁识别,USES_MODEL,CNN,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000048,震后建筑损毁识别,USES_MODEL,U-Net,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000049,震后建筑损毁识别,USES_MODEL,Transformer,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000053,xBD,HAS_IMPACT,震损标签图,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000054,ALOS-2-BDE,VALIDATED_IN,2024 年日本能登半岛地震,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000055,遥感震损智能解译,SERVES_STAGE,震后评估,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000056,遥感震损智能解译,SOLVES,震后建筑损毁识别,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000063,生命线震损风险传播GNN,DEPENDS_ON,生命线设施数据,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000064,生命线震损风险传播GNN,DEPENDS_ON,道路网络,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000065,生命线震损风险传播GNN,DEPENDS_ON,OpenStreetMap,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000066,生命线震损风险传播GNN,SOLVES,生命线风险传播分析,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000067,生命线震损风险传播GNN,SERVES_STAGE,城市韧性评估,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000071,数字孪生城市地震风险模拟,SERVES_STAGE,城市韧性评估,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000073,震后救援调度优化,SOLVES,救援路径规划,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000074,震后救援调度优化,SOLVES,物资调度优化,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000075,震后救援调度优化,SOLVES,应急响应分级,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000076,震后救援调度优化,DEPENDS_ON,避难所数据,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000080,地震应急辅助决策,SOLVES,应急响应分级,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000081,地震应急辅助决策,DEPENDS_ON,PAGER,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000082,地震应急辅助决策,DEPENDS_ON,ShakeMap,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000086,Hazus,SOLVES,经济损失估计,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000022,待复核
REL_EQ_000088,OpenQuake,EVALUATED_BY,PGA,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000097,地震证据图谱GraphRAG,DERIVES_FROM,本体与复核机制,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000028,待复核
REL_EQ_000108,Sendai Framework,PUBLISHED_BY,UNDRR,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000112,2024 年日本能登半岛地震,HAS_PARAMETER,震中位置,0.6,40.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000005,待复核
REL_EQ_000078,震后救援调度优化,REQUIRED_BY,Sendai Framework,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000083,地震应急辅助决策,REQUIRED_BY,ISO 22320:2018,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000084,地震应急辅助决策,REQUIRED_BY,Sendai Framework,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000095,国家地震应急预案,REQUIRED_BY,Sendai Framework,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000101,地震证据图谱GraphRAG,SUPPORTED_BY,原始来源核验机制,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000237,分布式AI地震预警,SUPPORTED_BY,证据片段007,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000238,分布式AI地震预警,SUPPORTED_BY,证据片段008,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000239,分布式AI地震预警,SUPPORTED_BY,证据片段009,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000241,分布式AI地震预警,SUPPORTED_BY,证据片段011,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000242,分布式AI地震预警,SUPPORTED_BY,证据片段012,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000264,震后灾情快速评估,SUPPORTED_BY,证据片段034,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000267,震后灾情快速评估,SUPPORTED_BY,证据片段037,0.75,30.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000007,分布式AI地震预警,USES_MODEL,PhaseNet,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000008,分布式AI地震预警,USES_MODEL,EQTransformer,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000009,分布式AI地震预警,USES_MODEL,QuakeWake,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000011,分布式AI地震预警,USES_MODEL,DBSCAN,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000012,分布式AI地震预警,DEPENDS_ON,MEMS 加速度计,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000034,震后灾情快速评估,DEPENDS_ON,ShakeMap,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000037,震后灾情快速评估,SOLVES,经济损失估计,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000058,遥感震损智能解译,DEPENDS_ON,Copernicus EMS,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000059,遥感震损智能解译,DEPENDS_ON,ALOS-2-BDE,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000060,遥感震损智能解译,DEPENDS_ON,Sentinel-1,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000070,数字孪生城市地震风险模拟,SOLVES,地震风险评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000077,震后救援调度优化,VALIDATED_IN,2023 年土耳其-叙利亚地震,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000087,OpenQuake,SOLVES,地震风险评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000091,OpenQuake,HAS_METRIC,MDF,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000092,OpenQuake,HAS_METRIC,COV,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000113,地震,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000114,地震,DERIVES_FROM,全球典型地震事件参数,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000115,地震,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000116,应急响应,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000117,应急响应,DERIVES_FROM,灾后应急响应与人道需求,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000118,应急响应,DERIVES_FROM,应急治理政策标准,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000119,恢复重建,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000120,恢复重建,DERIVES_FROM,灾后应急响应与人道需求,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000011,待复核
REL_EQ_000121,灾后复盘,DERIVES_FROM,灾后应急响应与人道需求,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000122,地震早期预警,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000123,震后建筑损毁识别,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000124,震后建筑损毁识别,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000022,待复核
REL_EQ_000125,遥感震损智能解译,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000013,待复核
REL_EQ_000126,地震风险时空预测,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000127,震后灾情快速评估,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000128,地震应急辅助决策,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000129,地震应急辅助决策,DERIVES_FROM,灾后应急响应与人道需求,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000130,地震应急辅助决策,DERIVES_FROM,应急治理政策标准,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000131,生命线震损风险传播GNN,DERIVES_FROM,暴露体与生命线韧性,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000016,待复核
REL_EQ_000132,生命线震损风险传播GNN,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000133,震后救援调度优化,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000134,震后救援调度优化,DERIVES_FROM,灾后应急响应与人道需求,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_004,CHK_EQ_000010,待复核
REL_EQ_000135,震后救援调度优化,DERIVES_FROM,应急治理政策标准,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_009,CHK_EQ_000025,待复核
REL_EQ_000136,地震证据图谱GraphRAG,DERIVES_FROM,原始来源核验机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_001,CHK_EQ_000001,待复核
REL_EQ_000137,数字孪生城市地震风险模拟,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
REL_EQ_000138,分布式AI地震预警,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000139,CNN,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000140,GNN,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000141,RNN,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000142,Transformer,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000143,Transformer,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000144,随机森林,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000145,能力谱法,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000022,待复核
REL_EQ_000146,Hazus,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000022,待复核
REL_EQ_000147,OpenQuake,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000023,待复核
REL_EQ_000148,PhaseNet,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000149,PhaseNet,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000150,EQTransformer,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000151,EQTransformer,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000152,DBSCAN,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000153,QuakeWake,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000154,E3WS,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000020,待复核
REL_EQ_000155,CENC 地震目录,DERIVES_FROM,全球典型地震事件参数,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000156,JMA 地震目录,DERIVES_FROM,全球典型地震事件参数,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_002,CHK_EQ_000004,待复核
REL_EQ_000157,ShakeMap,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000158,PAGER,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000159,Finite Fault Model,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000160,WorldPop,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000161,xBD,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000162,xBD,DERIVES_FROM,本体与复核机制,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_010,CHK_EQ_000029,待复核
REL_EQ_000163,Copernicus EMS,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000164,ALOS-2-BDE,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000165,Sentinel-1,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000166,PALSAR-2,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000167,OpenStreetMap,DERIVES_FROM,遥感影像与建筑震损标签,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_005,CHK_EQ_000014,待复核
REL_EQ_000168,MEMS 加速度计,DERIVES_FROM,分布式AI地震预警,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_007,CHK_EQ_000019,待复核
REL_EQ_000169,Vs30,DERIVES_FROM,暴露体与生命线韧性,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_006,CHK_EQ_000018,待复核
REL_EQ_000170,人口暴露格网,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000007,待复核
REL_EQ_000171,Uncertainty Grid,DERIVES_FROM,ShakeMap与PAGER影响评估,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_003,CHK_EQ_000008,待复核
REL_EQ_000172,地震风险评估,DERIVES_FROM,工程损失评估系统,0.75,25.0,低置信度或治理风险关系优先复核,EQ_DOC_008,CHK_EQ_000024,待复核
